elapsed_ms,rss_bytes,rss_mb,scans
0,2016550912,1923.13,0
38504,1251848192,1193.86,125
60055,1251213312,1193.25,323
90102,1251618816,1193.64,601
120009,1251803136,1193.81,877
150064,1252016128,1194.02,1154
180077,1252237312,1194.23,1429
210059,1252646912,1194.62,1705
240023,1252966400,1194.92,1981
270054,1253265408,1195.21,2258
300086,1254109184,1196.01,2534
330098,1254551552,1196.43,2811
360003,1254838272,1196.71,3087
390085,1255088128,1196.95,3364
420031,1255522304,1197.36,3639
450057,1255878656,1197.70,3916
480025,1256316928,1198.12,4192
510050,1256685568,1198.47,4468
540103,1257021440,1198.79,4744
570031,1257299968,1199.05,5020
600028,1257668608,1199.41,5296
630005,1258033152,1199.75,5571
660002,1256321024,1198.12,5847
690052,1256673280,1198.46,6124
720024,1258016768,1199.74,6400
750091,1258467328,1200.17,6677
780048,1258815488,1200.50,6952
810025,1259089920,1200.76,7228
840092,1259442176,1201.10,7505
870012,1259786240,1201.43,7780
900054,1260068864,1201.70,8056
930042,1260404736,1202.02,8332
960074,1260826624,1202.42,8610
990077,1261039616,1202.62,8886
1020025,1261445120,1203.01,9161
1050069,1261727744,1203.28,9438
1080093,1262141440,1203.67,9715
1110049,1262419968,1203.94,9991
1140101,1262706688,1204.21,10267
1170100,1263075328,1204.56,10542
1200013,1265270784,1206.66,10818
1230100,1266401280,1207.73,11096
1260048,1266864128,1208.18,11371
1290103,1267154944,1208.45,11649
1320058,1267535872,1208.82,11926
1350003,1267798016,1209.07,12201
1380031,1268125696,1209.38,12477
1410064,1268453376,1209.69,12754
1440061,1268760576,1209.98,13030
1470084,1269112832,1210.32,13306
1500050,1269374976,1210.57,13582
1530081,1269637120,1210.82,13859
1560066,1269927936,1211.10,14135
1590037,1270329344,1211.48,14411
1620009,1270591488,1211.73,14686
1650013,1270919168,1212.04,14962
1680053,1271238656,1212.35,15239
1710019,1271574528,1212.67,15515
1740070,1271767040,1212.85,15792
1770099,1272098816,1213.17,16069
1800036,1272492032,1213.54,16345
1830073,1272807424,1213.84,16622
1860002,1273085952,1214.11,16897
1890068,1273348096,1214.36,17174
1920070,1273671680,1214.67,17450
1950094,1273671680,1214.67,17726
1980084,1273671680,1214.67,18002
2010025,1273671680,1214.67,18278
2040102,1273671680,1214.67,18555
2070026,1273671680,1214.67,18830
2100043,1273671680,1214.67,19106
2130085,1273671680,1214.67,19383
2160098,1273671680,1214.67,19659
2190064,1273671680,1214.67,19934
2220093,1273671680,1214.67,20210
2250039,1273671680,1214.67,20486
2280010,1273671680,1214.67,20762
2310037,1273671680,1214.67,21038
2340068,1273671680,1214.67,21314
2370037,1273671680,1214.67,21589
2400055,1273671680,1214.67,21866
2430069,1273671680,1214.67,22142
2460092,1273511936,1214.52,22418
2490058,1273511936,1214.52,22694
2520042,1273511936,1214.52,22971
2550038,1273511936,1214.52,23247
2580002,1273511936,1214.52,23522
2610007,1273511936,1214.52,23798
2640076,1273511936,1214.52,24076
2670009,1273511936,1214.52,24351
2700091,1273511936,1214.52,24627
2730078,1273511936,1214.52,24904
2760035,1273511936,1214.52,25181
2790080,1273511936,1214.52,25459
2820080,1273511936,1214.52,25735
2850096,1273511936,1214.52,26012
2880063,1273511936,1214.52,26288
2910071,1273511936,1214.52,26564
2940054,1273511936,1214.52,26840
2970039,1273511936,1214.52,27116
3000103,1273511936,1214.52,27393
3030055,1273511936,1214.52,27669
3060047,1273511936,1214.52,27944
3090097,1273511936,1214.52,28221
3120094,1273511936,1214.52,28498
3150007,1273511936,1214.52,28773
3180073,1273511936,1214.52,29050
3210077,1273511936,1214.52,29326
3240002,1273511936,1214.52,29603
3270042,1273511936,1214.52,29881
3300035,1273511936,1214.52,30156
3330044,1273511936,1214.52,30432
3360012,1273511936,1214.52,30708
3390094,1273511936,1214.52,30985
3420026,1273511936,1214.52,31260
3450070,1273511936,1214.52,31537
3480036,1273511936,1214.52,31813
3510044,1273511936,1214.52,32089
3540054,1273511936,1214.52,32365
3570007,1273511936,1214.52,32641
3600090,1273626624,1214.63,32919
